,_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_one_cggt_multi_cdgt_psi,f_count_ok_cl_between2lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_psi_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu,label
0,2022-02-19T15:10:00.000+01:00,1645279800,11111111,242011111111240,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0074074074074074,0.0,0,0.0,0,0,0,0.0,0.0074074074074074,0.0,0,0,0.0,0.0,0.0,0,0,0
1,2022-02-19T15:10:04.000+01:00,1645279804,22222222,242011111111130,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0
2,2022-02-19T15:10:06.000+01:00,1645279806,22222222,242011111111260,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0.0062111801242236,0.0,0,0.0,0,0,0,0.0062111801242236,0.0124223602484472,0.0062111801242236,0,0,0.0062111801242236,0.0,0.0,0,0,0
3,2022-02-19T15:10:19.000+01:00,1645279819,11111111,242011111111120,0,0,0,1,1,1,2,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,4,0,0,0,0.0027247956403269,0.0,0,0.0108991825613079,0,0,0,0.0027247956403269,0.0,0.0,0,0,0.0027247956403269,0.0108991825613079,0.0,0,0,0
4,2022-02-19T15:10:20.000+01:00,1645279820,11111111,242011111111230,0,0,0,1,1,1,2,0,0,1,1,0,2,0,0,0,2,1,0,0,0,2,2,0,0,0,0.0034364261168384,0.0034364261168384,0,0.0068728522336769,0,0,0,0.0068728522336769,0.0034364261168384,0.0,0,0,0.0068728522336769,0.0068728522336769,0.0,0,0,0
5,2022-02-19T15:10:52.000+01:00,1645279852,22222222,242011111111190,0,0,0,1,1,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0105263157894736,0.0,0,0.0210526315789473,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0210526315789473,0.0,0,0,0
6,2022-02-19T15:10:57.000+01:00,1645279857,11111111,242011111111150,0,0,0,1,1,0,0,0,0,0,2,0,6,0,0,0,2,4,0,0,0,2,6,0,0,0,0.0,0.002219755826859,0,0.0066592674805771,0,0,0,0.002219755826859,0.004439511653718,0.0,0,0,0.002219755826859,0.0066592674805771,0.0,0,0,0
7,2022-02-19T15:10:58.000+01:00,1645279858,22222222,242011111111120,0,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.025,0.0,0,0.025,0,0,0,0.0,0.0,0.0,0,0,0.0,0.025,0.0,0,0,0
8,2022-02-19T15:10:59.000+01:00,1645279859,11111111,242011111111270,0,0,0,1,1,1,2,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0018181818181818,0.0036363636363636,0,0.0,0,0,0,0.0,0.0036363636363636,0.0036363636363636,0,0,0.0,0.0,0.0,0,0,0
9,2022-02-19T15:11:18.000+01:00,1645279878,11111111,242011111111130,0,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0133333333333333,0.0,0,0.0133333333333333,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0133333333333333,0.0,0,0,0
10,2022-02-19T15:11:20.000+01:00,1645279880,22222222,242011111111230,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0
11,2022-02-19T15:11:31.000+01:00,1645279891,11111111,242011111111160,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.009009009009009,0.009009009009009,0,0.0,0,0,0,0.009009009009009,0.0,0.0,0,0,0.009009009009009,0.0,0.0,0,0,0
12,2022-02-19T15:12:00.000+01:00,1645279920,22222222,242011111111220,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0067567567567567,0.0067567567567567,0,0.0,0,0,0,0.0,0.0067567567567567,0.0,0,0,0.0,0.0,0.0,0,0,0
13,2022-02-19T15:12:01.000+01:00,1645279921,11111111,242011111111120,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0
14,2022-02-19T15:12:11.000+01:00,1645279931,22222222,242011111111180,0,0,0,1,1,1,2,0,0,1,3,0,7,0,0,0,3,2,1,0,0,1,7,0,0,0,0.0026525198938992,0.0079575596816976,0,0.0185676392572944,0,0,0,0.0079575596816976,0.0053050397877984,0.0026525198938992,0,0,0.0026525198938992,0.0185676392572944,0.0,0,0,0
15,2022-02-19T15:12:27.000+01:00,1645279947,22222222,242011111111150,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0109890109890109,0.0,0,0.0109890109890109,0,0,0,0.0,0.0,0.0109890109890109,0,0,0.0,0.0109890109890109,0.0,0,0,0
16,2022-02-19T15:12:37.000+01:00,1645279957,11111111,242011111111190,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094339622641509,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0
17,2022-02-19T15:12:38.000+01:00,1645279958,11111111,242011111111220,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.0256410256410256,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0
18,2022-02-19T15:12:51.000+01:00,1645279971,11111111,242011111111150,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0
